,0,1,2
0,5.0,33.0,28.0
1,35.0,24.0,37.0
2,4.0,16.0,15.0
3,17.0,13.0,38.0
4,2.0,15.0,28.0
5,11.0,26.0,18.0
6,5.0,11.0,17.0
7,33.0,38.0,17.0
8,18.0,11.0,28.0
9,28.0,18.0,11.0
10,16.0,24.0,38.0
11,5.0,28.0,18.0
12,28.0,27.0,23.0
13,17.0,30.0,3.0
14,15.0,9.0,13.0
15,4.0,9.0,32.0
16,2.0,18.0,35.0
17,13.0,3.0,11.0
18,26.0,5.0,8.0
19,11.0,8.0,18.0
20,38.0,33.0,24.0
21,28.0,38.0,24.0
22,28.0,9.0,5.0
23,39.0,28.0,11.0
24,35.0,38.0,1.0
25,11.0,5.0,18.0
26,18.0,5.0,11.0
27,12.0,2.0,28.0
28,11.0,23.0,5.0
29,8.0,17.0,13.0
30,13.0,18.0,23.0
31,39.0,5.0,33.0
32,15.0,24.0,28.0
33,5.0,7.0,11.0
34,28.0,23.0,30.0
35,24.0,1.0,38.0
36,2.0,28.0,34.0
37,38.0,1.0,24.0
38,24.0,37.0,35.0
39,23.0,38.0,31.0
