idno,0,1,2
nh0004,nh0025,nh0184,nh0158
nh0007,nh0210,nh0139,nh0243
nh0015,nh0022,nh0091,nh0086
nh0017,nh0094,nh0081,nh0247
nh0022,nh0015,nh0086,nh0158
nh0025,nh0064,nh0150,nh0100
nh0026,nh0025,nh0064,nh0094
nh0035,nh0184,nh0247,nh0094
nh0040,nh0100,nh0064,nh0158
nh0041,nh0158,nh0100,nh0064
nh0054,nh0091,nh0139,nh0247
nh0064,nh0025,nh0158,nh0100
nh0069,nh0158,nh0152,nh0125
nh0081,nh0094,nh0166,nh0017
nh0084,nh0086,nh0041,nh0081
nh0086,nh0022,nh0041,nh0176
nh0091,nh0015,nh0100,nh0210
nh0094,nh0081,nh0017,nh0064
nh0100,nh0150,nh0025,nh0040
nh0103,nh0064,nh0040,nh0100
nh0106,nh0247,nh0184,nh0139
nh0108,nh0158,nh0247,nh0139
nh0115,nh0158,nh0041,nh0025
nh0125,nh0253,nh0158,nh0064
nh0139,nh0210,nh0247,nh0007
nh0142,nh0064,nh0025,nh0100
nh0150,nh0100,nh0025,nh0064
nh0152,nh0069,nh0015,nh0158
nh0158,nh0064,nh0125,nh0025
nh0160,nh0040,nh0094,nh0081
nh0166,nh0081,nh0100,nh0125
nh0169,nh0253,nh0025,nh0184
nh0176,nh0086,nh0139,nh0158
nh0184,nh0025,nh0035,nh0064
nh0208,nh0158,nh0125,nh0166
nh0210,nh0139,nh0007,nh0247
nh0231,nh0015,nh0158,nh0208
nh0243,nh0247,nh0007,nh0139
nh0247,nh0139,nh0243,nh0210
nh0253,nh0125,nh0247,nh0169
